param_fmriSession,param_counterbalanceVer,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,p1_block_fix,p1_block_fix_dur,p1_block_question_onset,p1_block_isi_blackscreen,p1_question_duration,p2_image_onset,p2_image_duration,p3_keypress_RT,p3_keypress_key,p3_keypress_onset,p4_short_question_onset,param_end_instruct_onset,total_param_experimentDuration,RAW_param_triggerOnset,param_start_biopac,RAW_p1_block_fix,RAW_p1_block_question_onset,RAW_p1_block_isi_blackscreen,RAW_p2_image_onset,RAW_p3_keypress_onset,RAW_p4_short_question_onset,RAW_param_end_instruct_onset,CHANGE
4,3,14,8,3,c3_HowFace,1,looking at camera?,59,F_129.jpg,0,1.12444615364075,0,0,0.3,0,0.850320339202881,0.837133169174194,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249319.8558,1605249320.7083,1605249320.70612,0,1605249664.0366
4,3,15,1,4,c4_HowHand,1,both hands?,123,H_167.jpg,0,7.59326601028442,0,0,2.10079455375671,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249330.62653,0,1605249332.34385,0,1605249664.0366
4,3,15,2,4,c4_HowHand,2,both hands?,121,H_091.jpg,0,7.59326601028442,0,0,0.3,0,1.26714491844177,1.25687479972839,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249332.66064,1605249333.93511,1605249333.92778,0,1605249664.0366
4,3,15,3,4,c4_HowHand,2,both hands?,125,H_627.jpg,0,7.59326601028442,0,0,0.3,0,1.16710662841797,1.14790821075439,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249334.24457,1605249335.41405,1605249335.41167,0,1605249664.0366
4,3,15,4,4,c4_HowHand,1,both hands?,128,H_027.jpg,0,7.59326601028442,0,0,0.3,0,0.850321292877197,0.841361999511719,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249335.72846,1605249336.58454,1605249336.57878,0,1605249664.0366
4,3,15,5,4,c4_HowHand,1,both hands?,122,H_111.jpg,0,7.59326601028442,0,0,0.3,0,1.71731567382812,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249336.89557,0,1605249338.61288,0,1605249664.0366
4,3,15,6,4,c4_HowHand,2,both hands?,126,H_159.jpg,0,7.59326601028442,0,0,0.3,0,1.71731495857239,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249338.92967,0,1605249340.64698,0,1605249664.0366
4,3,15,7,4,c4_HowHand,1,both hands?,124,H_581.jpg,0,7.59326601028442,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249340.96377,0,1605249342.68108,0,1605249664.0366
4,3,15,8,4,c4_HowHand,1,both hands?,127,H_349.jpg,0,7.59326601028442,0,0,0.3,0,1.71731448173523,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249320.77282,1605249328.37568,1605249330.47648,1605249342.99787,0,1605249344.71519,0,1605249664.0366
4,3,16,1,2,c2_WhyHand,1,self-protection?,89,H_443.jpg,0,2.10715365409851,0,0,2.10079145431519,0,0.816973924636841,0.79741096496582,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249345.04865,1605249347.16611,1605249349.2669,1605249349.41696,1605249350.23635,1605249350.23394,0,1605249664.0366
